algorithm,id_file,arrival_time,created_at,start_time,waiting_time,processing_time,chunk_time,upload_time,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
hdfsrs_3_2,4,0,0,1717700191361271394,0,8107345478,245.944541,3808.257296,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[833.3335447311401, 833.3335447311401]"
hdfsrs_3_2,5,0,0,1717700199906603325,0,9449275497,329.223526,5781.992939,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[1000.0002536773682, 1000.0002536773682]"
hdfsrs_3_2,6,0,0,1717700209953618565,0,6804310048,318.467855,3627.400073,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[1166.6669626235962, 1166.6669626235962]"
hdfsrs_3_2,7,0,0,1717700217187663761,0,7179107325,243.864849,4016.852815,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[1333.3336715698242, 1333.3336715698242]"
hdfsrs_3_2,8,0,0,1717700224880305673,0,7876548266,309.437649,4660.142862,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[1500.0003805160522, 1500.0003805160522]"
hdfsrs_3_2,9,0,0,1717700233189049304,0,5805325982,158.331819,3042.310807,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[1666.6670894622803, 1666.6670894622803]"
hdfsrs_6_3,0,0,0,1717700240755577521,0,6683519053,197.079987,4564.015774,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[100.00004196166992, 100.00004196166992, 100.00004196166992]"
hdfsrs_6_3,1,0,0,1717700247886372084,0,6838115771,257.830066,2990.746127,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[200.00008392333984, 200.00008392333984, 200.00008392333984]"
hdfsrs_6_3,2,0,0,1717700255265703664,0,7155498647,208.672845,4018.132318,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[300.00012588500977, 300.00012588500977, 300.00012588500977]"
hdfsrs_6_3,3,0,0,1717700262839402345,0,5964027541,188.088628,3748.490392,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[400.0001678466797, 400.0001678466797, 400.0001678466797]"
hdfsrs_6_3,4,0,0,1717700269557538206,0,5492295412,192.889526,2799.250731,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[500.0002098083496, 500.0002098083496, 500.0002098083496]"
hdfsrs_6_3,5,0,0,1717700275784687443,0,8103811831,184.058331,4483.24597,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[600.0002517700195, 600.0002517700195, 600.0002517700195]"
hdfsrs_6_3,6,0,0,1717700284322500713,0,6756509202,220.92412,3745.49051,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[700.0002937316895, 700.0002937316895, 700.0002937316895]"
hdfsrs_6_3,7,0,0,1717700291532692055,0,4243440131,167.491918,2085.135068,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[800.0003356933594, 800.0003356933594, 800.0003356933594]"
hdfsrs_6_3,8,0,0,1717700296290166438,0,5434472774,211.204989,2544.217855,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[900.0003776550293, 900.0003776550293, 900.0003776550293]"
hdfsrs_6_3,9,0,0,1717700302153021479,0,6673739887,304.467063,3527.787836,209715200,3,2.0,314572800,104857644,150.0,"[0, 1, 8]","[1000.0004196166992, 1000.0004196166992, 1000.0004196166992]"
hdfsrs_10_4,0,0,0,1717700310472071578,0,4232115559,185.043237,2218.596393,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[70.00004196166992, 70.00004196166992, 70.00004196166992, 70.00004196166992]"
hdfsrs_10_4,1,0,0,1717700315239526201,0,5163217320,187.192421,2454.662248,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[140.00008392333984, 140.00008392333984, 140.00008392333984, 140.00008392333984]"
hdfsrs_10_4,2,0,0,1717700321005369141,0,5899704437,239.449999,3443.666306,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[210.00012588500977, 210.00012588500977, 210.00012588500977, 210.00012588500977]"
hdfsrs_10_4,3,0,0,1717700327385154713,0,5005261402,255.443695,2206.485826,209715200,4,2.857142857142857,293601280,73400364,140.0,"[0, 1, 3, 8]","[280.0001678466797, 280.0001678466797, 280.0001678466797, 280.0001678466797]"
